Human Being	Frick off
Mxsz - مكسز	Don’t ruin roadhog please   كل شيء الا الهوق 🐷♥️
Saulo Brasileiro	FIX THE MATCHMAKING ! IM NOT THE SAME RANK AS A FLANKING REIGNHEART OR A DPS ONLY MOIRA OR ... I AM NOT THE SAME RANK AS SOMEONE THAT DOESNT KNOW BRIDGET HEALS WITH HER SWINGS !
Billie Lourd	Sis thought Moira was getting something special based on the thumbnail. I played myself for getting my hopes up.
Davey647Returns	“Mercy will be getting a buff”  PRAISE BE TO JEFF! His thirst for mercy nerfs has finally been quenched.
Alexandra Darkbee	R E A P E R   B U F F S ? ? ?       As a Reaper main I am happy to hear that.     M E R C Y    B U F F S ? ? ? FOR THE FIRST TIME EVER??? 😂
Nox	Buff Symmetra?! She is ridiculously overpowered right now. If anything, she needs a nerf.
Norman Wolf	Mercy Buff: Stockholm Syndrome That's not the buff we need!!!
WindyTheKiller 2	Yes finally buff mercy
تركي مجهول الهوية	프흐나노너
DumbGamezZ	So basically Black ops 2’s theater mode 😂
DabMaster420	It is only for PC players....... Console Players: TRIGGERED
Violet Reyes	Yay!! This will be fun!
TheApexGamer	This is such a big step this means that you can review and watch one person if you want this is going to the league this amazing thank you big daddy Jeff lol
Gabriel Stolarczyk	So, still no (solo) role queue, great... -_- And I don't care if DPS-only players will have to wait much longer - learn something else! :-P
Crimson Knight	fix mercy please, her current state is absolute trash, you guys made me stop playing your game.
LauW G.	Please just make a dozen of maps already. I'm not saying "Compare to TF2" cause that would be unfair, but still, stop making Arcade maps and make Real mode maps.
Tatu Heikkinen	Of course is only for PC. No love for console
Yizzaz	Please please give tracer another skin you can buy with credits pleeaase
Luke Emin	Hey what about PTR for console
WarmMilk	That's amazing
gadick	"Mercy buff" what type of nerf is this?
DJ Anubis	Buff for Reaper and Roadhog? Thus is interesting...
Mel Weg	I mean, can we just nerf the rip tire a little bit? Reduce the blast radius or decrease the timer or increase the cost or something? There's very little out there to negate that tire's damage or manuverability.
punk rat	thats good!!!!
Shawarma Frames	MERCY DOESNT NEED A BUFF, all you trash mercy mains who dropped to bronze because of mercy nerf are complaining about mercy. SHE IS BALANCED, LEARN A NEW HERO FOR GOD SAKE
Krister Nielsen	There is a big difference in liking the game and enjoying to watch others play it. Personally i would never watch these world cups so in my eyes you are wasting resources on functions which you could spend developing new game modes or entire games set in the OW universe
SpiritNoYoso	He knows chat monkaS
Greg T	does any average play really care anything about this world cup thing?   Unless you live in your parents basement and pissing in a bottle so you don't have to leave your room, you really just new content that we can play, not watch others play.
Ausbeth Ajagu	Idk.. I think the hype alone from casting is alot more fun than just spectating (which is why I find watching scrims so boring).. thoughts?
KASISQURDA	all the world cups and leagues.... when the game is broken...
Reainny	Where's my hero 29
Carl Marinas	The viewer would be a help on catching hackers, specifically wall hacks and aimbots huge feature
Malacite	The changes are already up on the PTR and I like them, but I still think the best thing they could do for Mercy is remove Res altogether and have her focus on switching stances similar to Lucio. But where she'd differ is swapping her staff's function would no longer be instant but take a few seconds,  and in exchange for that buff the power of both modes. IMO it would give her a good level of micromanagement and really emphasize the need for the player to read the situation correctly, as those few seconds where you're stuck swapping the beam on your staff could cost a fight.
Yunnklevoot Yunnkleshnout	Go commit lifen’t
McToilet	just let mercy be able to blast up people again
Ralf Glöckner	World Cup Viewer - that will be so COOOOOOOOOOL!!!
matteoc98	Dislike because he didn't say "This is Jeff from the ow team" hahaha 😂
Berk Turgut	Will world cup viewer be accessible in non beta regions during the world cup or will we have to have beta to be able to use it in the time
ChargedNut99	Junkertown.
Mr. Weebfanboy101	Halo 5 has this feature already
HimSnow	We need cardboard sword genji next year!
Aci	Blizzard logic: _Taking 100$ from someone and giving them 20$ back should make them happy_
Glassed Silver	The real news is that they deem balance changes necessary for so many heroes at once and Baguette isn't among them. :thinking:
OEXI	Who else loves to hate this man sometimes lol
Cornflake Comando	Next year can you actually do something different for the Halloween event? 3 years and essentially no changes. Cheers
YA BIGBOI	I’m just hopeful for more mercy buffs and bug fixes to Hammond
me4	tfw still no text chat on consoles
Part Wargreymon	How about a story mode?
Jen Green	Overwatch world cup viewer.....you mean what you should have done for the all access pass
Love The Batman	His shirts have gotten less and less cool.
Bracken Buddha	Can’t wait for that replay system 😁
Malooka 007	Its cool by the way!! 🙂❤️
faxln ug	remove doomfist and your game will get slightly better
ironbeats	I already know that im gonna hate what they will do with roadhogs hook....
Desolation	Replay System! Yes!
Alex Duncan	Bad game
Black Shooter	Heal genji :'(
Lmao XD	I play on Xbox one help plz
Richy	You do realize that reaper and sym are already really strong in lower ranks, right?
My B Edits	"We don't care about eSports as long as we make a great game"  *game is a buggy unbalanced mess and they only focus on esports*
Mario Petkov	Mercy Buff: Mercy mains' dream come true
dani machause	Buff for Mercy? NO, its just half-reverting the nerf she had months ago. Ok, so now we have the same useless Ult as before... We cannot play her in ranked because there is allways an Ana or Moira in the team as the main healer and people allways ask for Lucio or Zen because of their great ults, but because Mercys ult is garbage and do NOTHING (even with the """"buf""") if a team plays her, they are doing less than with other healer and its very sad. If only her Ult was like much more HPS to single target, that would be a wise step to make Mercy more impactful and strong (Maybe they should focus her as the best Single Target healer and emphasize that with her ult). At the end, Mercy needs a rework , im a Main Mercy since the beta and she is in a very bad spot right now, hope they realize about it and do something (at least, more than half-revert a nerf -.-).
Corey Franklin	Talon tank powered by the cube that Talon stole from the train in the McCree comic. The Route:66 payload has been updated to an opened container with cool air effects but it used to be closed. The container has a striking similar reference to D.va’s Meka design exclusive to her and no other Meka pilots. McCree is on the front poster for the Blizzcon advertisement. I think that we will receive a hero or animated short relating to this topic at Blizzcon.
Jonathan Hendrix	Just sitting here patiently waiting for a map editor
ZoeClone Barbarian	More buffs for mercy pls
Happy Helpful Hoovy	now we can always SPEC MOOWE
Requiem 751	Hey As a genji main, fixing his reflect would be appreciated  I'm excited to see everything that you'll be announcing at blizzcon And after Keep it up guys
Tetramorium	Fix the Rendering Device Lost bug first... I have tried EVERYTHING except for buying a new pc which I shouldn't have to do
Nintendudes	Father Jeff
Brodie Holden	Jeff ): where is my tracer buff, i am sad now
s3od	("Bring back overwatch") - jack morrison
_chateaux_	So Mercy’s buff was actually just a revert? K whoever writes Jeff’s scripts needs to be fired #MakeMercyGreatAgain
Kausar De	Finally reaper's fortnite syndrome will go away
26yael26	bless papa jeff
Man of Spaghett	Who's the godamn hero jeff
Phil Da Master	Hey Jeff!
a x o l o t l	mercy mains are the most annoying people in the playerbase
Ultimar ,	Thank you for ignoring console players over and over
jinxed games	Why is a function that not everyone will love and it won’t be for consoles a main focus on this developer update fix mercy, fix symmetra and fix doomfist I don’t understand why e sports and blizzcon is so important all the time
Ιακωβος Νεκταριος Λεντακης	The moment you realize that you could go to the description and read about the video instead of wasting 7:53
iAzøOoZ 86	جيف كابلن 🙂💔.
Việt Thanh Nguyễn	Ayeeeeee i can see Canada with xQc destroying others now
Hapmaplapflap gap	1:20 I Pogged irl
Pr3cision	so no brigitte nerf?
Balin Peel	Does anyone know how to personally contact the overwatch team or anyone like that? Thanks :)
Azz Azz	If blizzard stopped updating their game with one item every 6 years, it would still be a good game
Jules C	CANT WAIT TO WATCH JEFF GET FIRED ON LIVE TV ON THE WORLD CUP VIEWER. “Hey bud, we gotta let you go”
Benjamin Holt	Will there be a way in the future to share game replays with friends so they can look at your matches?
Remy T	Jeff looking like a snack as always.
Ninja	I predict 6 more Mercy Nerfs in a row lol. New band aid ability heals 1hp a minute and she can use 3 max per match.
CJ Van der Merwe	Wait , who is this imposter?  Where is "Hello this is Jeff from the Overwatch team" ?
DARKSIDE Of apokolyps	Imagine if overwatch was on mobile and there was a campaign
Reynixan	STOP BUFFING HEROES SYMMETRA AND TORB ARE ALREADY OP.
MrAlenaar	This is all so wonderful but I prefer to play games over watching them, so it would be amazing to see some effort and money going into content developement...
Hanji	Hey Jeff could you please explain why I have been playing the Halloween event since it came out for two hours a day and still have 0 out of the 40 new event unlockables
Chrissy Lyn	If Overwatch Switch isn't Announced. I'm Never supporting Blizzard again.  #BuyingDiablo3Switchsoon
VenoFuj	4:40 and pause ;3
Matan Baruch	I'm so excited for this feature
Varren	Has the love for mercy returned?
Whiskii	You're buffing Reaper..? The guy who can kill a tank in two shots, wraith away when things get too tough, gets healed then takes out 5 team members singlehandedly with a Mercy attached to him, by doing nothing but run around holding left click, only to think they're pro? Oh okay.....
yeet mageet	Narly job dudes
Weazel Games	You just like to say "Overwatch World cup viewer" don't you Jeff....
Sq00shie	nurf hANz0 daddi
NiceoneZD	geez, not again, mercy cry babies
Emiami12	Before you add anything NEW ! FIX those old buggs.
Alev	Why can't wow devs be like this?
Vincent Wei	*NEW DINOFLASK VIDEO INCOMING!*
Rash Rash	but doom and hanzo come on Jeffiii boii...
Junaid 001	I love overwatch.
Angel	please just fix mercy, none of this is gonna help her omg.......
wiggle nancy	cant they bring anyone else to deliver the news instead of propping up mr. weekend at bernies?
Ali Toma	I like it
GodSecretWeaponOW	Ofc Sym needs a buff ._. If u are going to buff her primary fire nerf her turrets. Its so dumb getting insta killed by something that's not a player seriously. And don't come with just destroy the turrets 4head. First most of the times u don't know where the turrets are and second u have the enemy team trying to kill while u are getting melted pls Balanced game btw
Ibrahim Mehdi	this is good, love the dev updates :D keep them coming, really shows that you are there
Noah Hatcher	This man is constantly out of breath
The Masked Marauder	The funny thing is, I was thinking about how the "Overwatch World Cup Viewer" would work while watching the World Cup... Before I even new this existed. Even so I reckon the could easily make it into an app.
Reiterfuchs	Wow, I hope that feature comes to the OWL season 2 for all systems!
Tiago Martinho	So the new social feature is another OWL bullshit. Great @_@
Chuck Nourrizzz	WE DONT CARE ABOUUT OWL, WE WANT THE BALANCES AND PLS REVERT OW BACK TO CASUAL FUN NOT COMP
Crazy Shadow	Mercy need more buff
Ernest Rutherford	Full 21:9 support blizztard
George	Overwatch October 2018 update but Jeff only says BlizzCon
Mekorita	oo look a stylosa vid in the recommended section of this video about buffs and 10 minutes long LUL
Wexiina1996	#fixmercy Mercy is not fun to play.
Zenyatta	But he didnt denied a new Hero :o Or Lore, pls give me some Zeny Lore :o
Braden Russel	Please NERF Doomfist
Holly Dot	I don't get it. Who is this man and which team is he from? He didn't introduce himself
Chunky D	fix rein
Preoley	Gosh, I wish Jeff Kaplan was the lead Game designer of World of Warcraft again...
RizZzaK	boring tbh would like to see some major changes to bring people back to the game
Elai ᄋᄉᄋ stans everything GG	I cant wait for him to announce the valk buff. 😊
Padelis Barbounis	Reaper doesn't need a buff
PumpBois	Jeff can you return mercy pls
Pedro Pais	I just enjoy this almost face-to-face videos that you guys do. Great stuff Jeff
ICE MONKEY	Why the heroes need nerf get buff?!??!?!
fashnek	THIS IS EXACTLY WHAT I WANTED, JEFF! I know the team has been working hard on this for a long time. This will get me back into competitive OW.
Yousef AD	Reaper needed the buff, FINALLY
Eva Brudermanns	Dont try to rework heros. It make them worse (without Sombra that worked). Just give us the old Mercy, torb and Sym back. Or make them in a special Modi playebal again
Pierre Courtois	NEW COMIC ! NEW COMIC ! NEW COMIC !
h4yd3n 5m1th	When is Brigette getting removed cus there's no way you can save her now
VIKTØVER	the ranking system is a joke lmao
ben the shirt	a mercy buff 👏
Blazi Ken	Let mercy shoot her gun while healing
Jamie Rose	You suck Kaplan!
SeptR	This is actually amazing
Ripty UrAss	Don’t even know what they mean they’re excited to introduce these Mercy changes because they absolutely gutted her whole kit last patch and this just returns her to a mediocre state for 15 seconds.
Jda111555	*End of this world*   *Mercy BUFF*
segevspy	PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE PLEASE Allow third person in costum game.
zmeygorianin	Will it be possible to watch the battle through the eyes of a hero by choise, or only switching between FPS and TPS of the streemed hero, chosen by the editor, and floating around the map?
Sensistar_87	Jeff is such a cool guy 😆
3bood  _ g7	PRAISE daddy jeff finally some mercy buffs):
NinjaPlatapus Gaming	So like why isn't he saying hello everyone this is Jeff from the overwatch team?
Mister Quince	After the launch of Baguette I don't want new heroes anymore... !!!AT ALL!!!
KronosWolf	Now This Is Epic!
Genji Main	Love u jeff
Daniel Maycock	World Cup Viewer should be interesting.  Looking forward to trying that.  Quite happy with the decision that new map announcements will be given in other ways.
The Hurricane	Mercy didn't get a buff.. It was just a revert to a previous save lol
Chris Vega	Hold on symmetra is already op you can be so nasty with her especially in close quarters. I’m not complaining I’ll welcome the buff .....just saying....
Luigi Enrique	I want to see Jayne's reaction to the Replay system
Xaniyo	WoW, people become more toxic in comment section, I remember when eveyone was just praising papa Jeff, and now every person is just demand something, like they are owe you.
Gamerguy	The constant bugging and nerfing killed this game...
Camelia sinensis	Oh, it's that feature that was announced two years ago.
mr cake	My boy reaper again perfect. here I have something to nerf MEI.thank you for your time
lordbluelet the blue	world cup viewer?where have i heard this before...?Oh yeah GOTV for cs
blue	Hearing that there would buff for roadhog, reaper and mercy made my day
Robert Ferraro	I got so excited when he said mercy. I don’t think I’m okay
KyleCorbeau	So let me get this straight..."Developer Update" where the update only begins to be talked about after 6 minutes into the video, 4 and half minutes of which were taken up by OWL.... smh
fire birds	Can you please let us have 1 skin from our country 🙏
Nicolas Sugiarto	Now... now?! They buff Mercy now, thats just wow, I don't know anymore.
Dr.Cunning	Delete Moira, please
quiet dove	4:28 ow viewer feature skip
M4v3RicK99	WHERES THE BRIG NERF JEFF
Mynion24 100	"Mercy buff" Me: *W O K E S T*
WatchfulGred	Wait... Jeff? A mercy... BUFF? WHERE'S THE REAL JEFF AND WHAT HAVE YOU DONE TO HIM
Tobi G	fix df ty
iamarugin	Why noone in comments super excited about match replays? It would be super awesome!
Shadow	I just hope there's a huge expansion or something cause theses events don't feel amazing or fun anymore and we need more slots on arcade modes cause mystery heroes are is just permanent same with ffa give us more modes per week and at this point the arcade weekly loot box reset should be daily too give us something too do atleast
Than211	5:47 a-MEI-zing announcements coming at Blizzcon. Mei is confirmed to be getting buffs!
Smoking Rxses	Finally a BUFF for Mercy.
Flame Lord1998	hey jeff give us holloween skinfor genji genji x mercy needs more skin mate there du for one u honzo lover who favers honzo #jeff
Ichigo 360	They need this for smite
dratini	what about a brigitte nerf  - sincerely, a tracer main
Ya Boi	I quit this game after season 5
Red Joker	Ok so honestly speaking I know you guys have a huge and amazing development team but where are they? Hero releases are sparse, map releases are sparse and the events recently have honestly been boring. Please give us something big to shift the game.
LilyBizkit	The world cup viewing: Does this have to be done in game or battlenet launcher? I'm a console player but play hearthstone so i have the launcher.
JP Wolf	or u cud just release more lore and like just make the game less stale instead of the constant hero changes
PanzerFaustFurious	Buff mercy?? Why lol
Havoq MS	Game is dyin.
Boneknock Grit	world cup with another brigg meta ? no thanks.
Xestern	70% Focus on eSports 30% Focus on Actual Game
HammerSam	Did he say ‘BUFF’ to MERCY !!!!!!
The_Llama_God1777	remove brig
Tristan Oliver	I've legit tried to go with mercy mains but idk I cant lol they're legit not happy with any changes, face it guys mass rez was op af, at least they should reduce the number of rezs possible but still op af, she needs a new ult. So get it in your head that mass rez will NOT be brought back and stop complaining 24/7 Now you can start trash talking me go ahead
Sqoz	"a special version of Overwatch". I sure hope they will not milk this for money. It's just replays. Been in games for ages.
ToastNOW	Thank you Jeff! :) no one said you have to talk to the community but you do. <3
Marius Gosling	Mercy BUFF?! Who are you and what happend with Jeff 😇
Brian R.	Buff Moira
Jonathan Espinal	This viewer thing is gonna be dope
Святослав Массачусетский	best game evar
Captain 01	Jeff kaplin (ps i am super sorry that i spelt your name wrong if i did) but can you please make mei 1.5 secons longer to freze us because i like to play deathmatch alot and every time I run into her she frezes me solid.
Shogun Tanuki	about time some love for my boy Road
RayZ gameZ	Hey PAPA JEFF
E.O.W.	mercy mains crying in 3... 2...
Wizardxeze	My opinion is that they Half hearteldy reverted Mercy's nerf ~ it is not buff it is just going half way to revert the 60 healing -> 50 healing lowering which was so big a nerf that she is almost useless, except Phara poket   I won't be playing Mercy untill either Phara is on my team or they Revert the literall unnessessery nerf, as they 2 years back buffed it to be 60 FOR REASON!
IpoteticAMVsChannel	OMG it's true!! They only care about OWL this days...that's sad..
Daniel Weiß	I would like to see that blizzard make a kind of reset between de Seasons so the player who had a really bad season can get better SR. I´m stuck on 2000SR on my Main account but i created a new one and startet with 2800SR thats weird and i want to play with my main account but not in that tier..
Rob S	I think they’re delusional. Why focus on esports when ur core game player base is dying?!?!  Stop focusing on things which the average player does not care about.
Section X	Have you forgotten what your ACTUAL fans want? Is Esports the only thing that matters now? We want to play the game, not watch it!
Bak Akira	I hope we would have the option to disable this useless thing
Main Reaper™	Mercy buff? Funny joke Jeff.
Joseph Barbango	Mccree cinematic
shadygodd	jeff, what hair routine are you using or what transplant?
TheHunterWolf	This replay feature be available in the game itself, hope it happens soon.
paul	Ok the World Cup thing sounds sick
buffydaslaya	That mercy buff does nothing, revert her to 60/hps.
Zakaria Abdi	Roadhogs shotguns are so inconsistent, in my opinion the most broken tank after rein
LifeHunt Scythe	Zenyatta lore when
joshua perez	Buff genjiii or rework him :(
bidiBuzz	it's gonna be so cool to review the scrims !!!!
MindGem	7:51 Focus lips.
YonaBird	Stop promoting and doing the World Cup. You are promoting 200 Players that are top rated instead of LOADS of other players
Dug The Pug	I would rather have a mercy revert but a buff is still nice
lolmaster 52	I wish blizzcon would come to the uk or     Northern Ireland
woRNab	Ok it's just like csgo :)
CWFitness	Genji buff
mechaFoxs	blizzard is going to take over with this new feature
Zyrex	dead game tbh
Nero	I'm so hyped for this OWC feature OMFG THIS IS WAY TO COOL!!!
Anakin Skywalker	Thank you, Overwatch Team! <3
Lightfire	Can you please put less Money in the League and more in the Game. Like Events etc. But great Video and great Feature.
Xoid •	Finally!! I can learn from the pros ! Spectating individual players will help a lot !
Manga Mango	Yes reaper
ねこCat	Hi Jeff I missed u bb
SmallBoi	Stylosa is s h o o k e t h
nickdanger12345	Great, I'm glad they're focusing on esports instead of adding new features,I don't know, something as insane as a NEW event gamemode in 2 years. Consider this, a full price game with loot boxes, that is also making a fortune off esports should have more than just extra cosmetics. Cosmetics that they actively make you GAMBLE for. It's just scummy, especially after  they "fixed" the drop rate well after the game had left its prime. They created a problem and then actively withheld the solution until they maximized profit, and then people turn around and act like they're saints for doing it? Don't even get me started on how they gate content behind arbitrary periods of time in order to spur your sense of urgency to, again, maximize profits. Yet to this day they can't be bothered to make new game modes for events or fix some of the blatant issues with ranked? People need to stop for a second and remember what comes before Blizzard, Activision.
Matty Mills	YAS A MERCY BUFF FINALLY!!!
Vasko Bundevski	replay feature incoming it better come soon for us !!!!
Mythik Beast	Make the demon hunter sombra skin available to get in game. Please,
Vark	Winston’s winrate will be 35%
verbalkint33	Incredibly excited for the World Cup Viewer. Thank you.
Jamborino	Plz Jeff
Niko Siilin	How about are you and your team working with hero 29 for blizcon
papa bruce	Worrying more about the E-Sports than the actual game OMEGALUL
S3MJJ3	Oh and now you're gonna BUFF Mercy, well Mercy get out of the trash can now.
Politikz Official	Ok so  You guys co designed destiny so can we please get a colab? I'd love to play a character that has different ult options like old symmetra and could choose between the 3 different types of ult in destiny 2. Like void grenades or the sword thing dawnbreaker? Or the electric field. The sword ult could be like hanzo's dragon but faster 1 hit of damage instead of continuous. The void grenade could be like bastion's ult but unable to move while doing so like pharah's ult in the sky but you'd get like a small amount of shield to stay alive longer. The electric field could provide continuous damage to a certain area, like Hammond's ult but not instant damage or death to squishy heroes. I just thought it'd be a cool idea. Could be like solider 76 when regular shooting.
rana alshehri	ONLY PC😭😭
noori comhair	WHY PC AGAIN!!!  JEZUS CONSOLE STILL EXISTS YOU KNOW!!!!
sahil sapare	Stop spending so much time on OWL
Woof woof	Flex mains?
Necro	6:24 What!?!? Mercy is getting a buff!?!?
Nacho Blue	Finally something good for mercy! :")
Sarmaua Magică	"Hello, this is Jeff from the Overwatch team..." wait he didn't say it wot
NoMercy _Ow	BUFF MERCY       Really she needs more buffs her rez is pretty weak now. Blizzard do something
Blazenado Stop Motions	Thank you father Jeff
42pantelis	Thank you for all the updates and your efforts Jeff, but would it not be better to actually fix the many imbalances and toxicity in the game instead of adding slo-mo on a viewer that your corporate bosses are pushing for? I bought a game, not a TV channel.
Nebojša Muljava	I love how Jeff is personal with the players of his game <3
Jonathan Woodhouse	Can you make a gamemode where it's old overwatch and there Are no new heroes and all the old one works like they did back in the good old overwatch days? That would be fin, because I miss the old mercy
Moose	I'm excited about the upcoming Reaper buff. He's one of my main DPS. I'm hoping for a fixed Shadow Step because it often glitches by not detecting platforms correctly.
Iris Heart/Plutia	Reaper buff? They're trying to bring me back?
kookabura	I don't understand who this man is Where is the overwatch T-shirt???
m7manunited -	Hello keff japlan
BigPapi	I hoped for a moira update
Sinkito	Great dev update! I'm so happy for us Mercy Mains as well ^~^ Thanks daddy Kaplan! <3
DreamInSilence	The spectating tools are going to be a great addition I'm sure. Now Blizzard, the next feature I think this game really needs is some kind of clan system. I feel like that would be a great thing for competitive mode.
Ahmed Alyuosf	Wait Mercy Buf?
AwkwardAnonymous	Okay this view mode thing is really exciting! My one complaint when watching OWL was the camera flicking around and disorienting me. Getting to control where your looking sounds really exciting!!
Lithviewr	who is this satan ?
Mike Blondeau	Oh yes, buff my boi Reaper
Duncan Moran	hey super quick do you mind not giving us minuscule mercy buffs that actually do nothing to help her character?
Tim Kennedy	Can you tell me why the Battlenet client has suddenly crashed after the last update and will not re-download again?
Regular Clasher	a Mercy buff?? i never thought i’d ever hear that
Trzecie Konto Orkaborga	MORE LORE LESS E SPORT
TheLonelyWolf87	She getting a buff ? Jeff did you hear my cringey song ? About stop nerfing mercy ?
Ryan de Vaan	Mercy buffs
Butter cup	BOOST MERCY!!!!!!
LunarCatan	"world cu--" skip "world cu--" skip "world cu--" skip "world cu--" skip "world cu--" skip
Blumare	BUFF MERCY MORE!!!!!
Kevin Da Silva	Can the Overwatch team just admit that the Mercy rework was a complete failure and actually fix her, this "buff" is basically nothing, this does not fix the core issues of the dumb unnecessary rework and plethora of nerfs to said failed rework.
Djana Brokholm	Poggers
Grimskull 94	So theres a chance a hero is going to be revealed next month
Ω Ω	Just remove Brig
_IZZY _	He definitely just hinted at a new hero at blizz con, he was very specific in saying "no new MAP"
Sensei_OW	This world cup spectator thing is gonna be lit af
megahewy finnish gaming	Its good to hear your voice, jeff.
Brodie Man88	I truthfully hate E-Sports. It’s ruining games for me.
Yamon 113	Where my mercy mains here???
Cyberspirit	I'm not hugely into E-Sports but, this is a really nice feature.
M Torres	Jeff is my Dad
SashoMedia	Awesome direction towards viewers experience! Keep the good work!
Zane	dinoflask save overwatch
eggyroll	6 characters in 2 & half years xD
Abdulrhman alshmrani	I got band today pls mr. Jeff gave me my account i am so sad . I love Overwatch too much .
ScottOne	That was a useless Developer update - world championship viewer app, first 6 minutes.  Skip ahead guys.
Kevin Nederberg	Guys i bought legendary edition a while ago and now that it has added more skins how do i get them?? I realy wannt the skins.
Kentz Hodiono	I hope some kind of permanent story mode is in the game. We need more story!
Nikolaj Laursen	ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q ROLE Q PLZZZZZZ
Hakei Liu	Yay mercy and symetra get buffed two characters I actually use thanks so much jeff!!!!!
Fabrizio Rapelli	Cool, so the game will be easier to watch. What if I told you that we would like it to be worth playing and not watching?
Jocke715	This is insane world cup veiwer
Caleb Boulio	wow people still play after all the nerfs and reworks ?
BlueSoulDragon Destructor	If you could put a story mode that would boost your sales and gamers this is for you and us
Mynameis Gréta	Mercy mains: OMG YESSSSS JEFF BUFFING MERCY THERES STILL GOD!
Sam Freeman	Dude the spectator for Owwc sounds pog
william greif	Lol
Fritz Asuro	Just stop reworking heroes! You guys are ruining the uniqueness of the heroes. Always catering the pro players.
TheMineCrafter2018 Too_Cool_For_LastNames	PLEASE MAKE A PARIS MAP
ViníciusGoulart	#NERFDOOMFIST
Mārtiņš Frīdenbergs	Sym buffs rly... plz just remove here.
Vine World	The viewer sounds cool, but I’m on Xbox so I can’t, but this is cool.
hacnap	Wait... Jeff was from the Overwatch team?
JasonBeKillin	make sym turrets do no dmg, only slow down people PLEASE
Jonathon Alsing	Is map content a metaphor for Diablo 4?
Obsidian Dragon	⚠️ Brace yourselves, Mercy mains. A new nerf incoming!  ⚠️
Just a normal Crusader	It's overwatch from the Jeff team
EntenDNA	Yes finally!
EinhornBoy 3000	Pls make a recomended mode for the Viewer, so you can watch the game like on twitch.
Szymon Duda	Ovl is Just boring
Diego Mahoney	WHERE ARE MY TRACER BUFFS.
DerSisch	OK... first of all: Sym not rly needs a Buff, she done the most work with Teleporter, Turrets and her secondary fire. The rest is ok, but I think the Mercy buff will a bit to strong, actually, the healing comming back to 60 is fine, but Valk is actually pretty impactful when used right, so she is actually better than before she got the last nerf (the one that destroy her actually, but ok) Next: Can we make a few changes of Tanks interacting to CC? And yep: i mostly asking for Reinhardt, because he is at the moment the most time absolutly necessary, but absolutly unfun to play against comps with more than 1 stun or CC-abbility.
Andrew2003Gr Chatziathanasiou	We have questions like : WHY SHOULD REAPER GET A GODDAMN BUFF!!!!???? You should nerf Briggite's lifesteal and overpowered abilities
Tjersero	POGCHAMP!
Miraak	Main Tank would be a good idea, the game could use more than 3 main tanks
Mitchell Li	Love what they are doing for the esports but the rank game still needs fixing
W for Wawa	I’m scared for the symmetra buff
Failed Pixel	I've never said this before. I love you Jeff.
The Looinrims	Jeff shaved
Fenrir AB	Mercy 1.0
Clovally	So... whens the FPS issue going to be fixed?
Winterpassing	finally i can watch the replays    thats what ive been waitin for
Andreas Seifer	Reaper buffs? Isnt it hard enough for Main Tanks already? ;_;
Very Unique Name	JUST BRING ROADHOG BACK!
Mimerafm	:O
Ace	MERCY BUFFFF
RAS Clips	WHY TF ARE YOU BUFFING SYMMETRA AND REAPER?!?!??!
Rick Sanchez	I hope one day they release 2 heroes at the same time. Kind of like a good/evil type thing. Ying and yang hero. Something like the ying yang twins.
Andrei	how about focusing on the events so we don't have to play the same halloween map 3 years in a row?
subterranean~	replay system PogChamp
Long N	Now I can go back to my demos and show exactly why my teammates suck.
respectingwomen	Still no Brig or Hanzo nerf... I'm schleep
Gloria Roies	OWWC viewer! Replay systems! That’s what I want! I’m crying.
Jake Schmidt	Is junkerqueen going to be the next dps hero announced at blizzcon, let’s hope🙏
Simon Zane	another esport bullshit that nobody care about.
Paultato	7:37 Nailed it!
Big Bad Buzz	WE CSGO NOW BOIS
Dark Lady	Do my eyes deceive me ?  A m....mmmercy buff?
Someone Someone	Buff for mercy? Is that a dream?
YourGenericName	I want Overwatch 2
Scully bb	Jeff's forehead foundation isn't matching again, someone teach this man to blend his foundation smh
Hibbs Dibble	Bungie was doing this a decade ago not only in multiplayer but also in the campaign as well.....just saying.......
TryHardNoob	As a Mercy main, love to hear some buff about Mercy
Disclaim	Why do I get throwers in majority of my games jeff
Mei	We can now learn from the pros in first person, with real, competitive matches. Nice.  Also make my piggy boy indestructible please thanks.
Evanka Trump	Can we nerf Jeff Kaplan? He is too op
Marky	No map from a Small Indie Co. TM
flyingpigmonkey1	Brigitte still in the game so I still don't care.
حسين/ hussain 29	Overwatch is dead
jarry plundermen	Isnt that like GOTV in csgo?
OG Aley	We all made fun of Jeffs famous introduction but we got so used to it that when it doesnt happen it feels hella odd.
Junyi Chen	Just move her to the trash no one likes her 😂
Emanuel Zanoaga	Im a Moira main
Cat Muffin	FINLEY BUFF FOR MERCY :D
Josh Espinoza	Disappointed no Winston buff maybe a shorter shield cooldown or longer duration for his Giant taser
Daniel Canales	Jeff talking sounds like a Rick and Morty improv bit
